Datum,Affarsenhet,Utfall,Budget,Prognos
2026-01-31,Nord,1035000,1000000,1020000
2026-01-31,Syd,925000,950000,940000
2026-01-31,Ost,815000,800000,810000
2026-01-31,Vast,745000,760000,750000
2026-02-28,Nord,1075000,1050000,1060000
2026-02-28,Syd,980000,970000,975000
2026-02-28,Ost,790000,820000,805000
2026-02-28,Vast,775000,770000,772000
2026-03-31,Nord,1090000,1100000,1095000
2026-03-31,Syd,1015000,990000,1005000
2026-03-31,Ost,850000,840000,845000
2026-03-31,Vast,780000,790000,785000
2026-04-30,Nord,1160000,1120000,1140000
2026-04-30,Syd,995000,1020000,1010000
2026-04-30,Ost,875000,860000,870000
2026-04-30,Vast,830000,810000,820000
2026-05-31,Nord,1175000,1150000,1160000
2026-05-31,Syd,1060000,1040000,1050000
2026-05-31,Ost,865000,880000,875000
2026-05-31,Vast,825000,830000,828000
2026-06-30,Nord,1210000,1180000,1200000
2026-06-30,Syd,1055000,1070000,1060000
2026-06-30,Ost,925000,900000,915000
2026-06-30,Vast,860000,850000,855000
